REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,16016978,9488,False  Burglar Alarm,01/29/2016,00:23,1200 block Arch St,Central Northside,1,,
OFFENSE 2.0,16016981,9488,False  Burglar Alarm,01/29/2016,00:34,1600 block Manhattan St,Manchester,1,,
OFFENSE 2.0,16017038,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,01/29/2016,01:57,Allegheny Ave & Western Ave,Manchester,1,,
OFFENSE 2.0,16017038,3301,Driving on Right Side of Roadway.,01/29/2016,01:57,Allegheny Ave & Western Ave,Manchester,1,,
OFFENSE 2.0,16017038,3802(a)(1),DUI - General Impairment,01/29/2016,01:57,Allegheny Ave & Western Ave,Manchester,1,,
ARREST,16017038,3301,Driving on Right Side of Roadway.,01/29/2016,01:59,Allegheny Ave & Western Ave,Manchester,1,24,F
ARREST,16017038,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,01/29/2016,01:59,Allegheny Ave & Western Ave,Manchester,1,24,F
ARREST,16017038,3802(a)(1),DUI - General Impairment,01/29/2016,01:59,Allegheny Ave & Western Ave,Manchester,1,24,F
OFFENSE 2.0,16017095,9999,9999 - (Misc. Incident): ,01/29/2016,04:31,100 block Rhine Pl,Spring Hill-City View,1,,
OFFENSE 2.0,16017112,3921,Theft by Unlawful Taking or Disposition.,01/29/2016,06:00,3400 block Fleming Ave,Brighton Heights,1,,
OFFENSE 2.0,16017126,9018,Accidental Fire,01/29/2016,07:11,200 block Carrington St,Central Northside,1,,
OFFENSE 2.0,16017155,9496,Dead on Arrival (DOA),01/29/2016,08:00,1200 block Yetta Ave,Spring Hill-City View,1,,
OFFENSE 2.0,16017153,9496,Dead on Arrival (DOA),01/29/2016,08:14,1900 block Mountford Ave,Fineview,1,,
OFFENSE 2.0,16017187,9498,302 (Mental),01/29/2016,08:34,100 block Rhine Pl,Spring Hill-City View,1,,
OFFENSE 2.0,16017267,9498,302 (Mental),01/29/2016,09:00,500 block Marshall Ave,Perry South,1,,
OFFENSE 2.0,16017130,9999,9999 - (Misc. Incident): Missing/ returned juvenile.,01/29/2016,09:45,500 block Marshall Ave,Perry South,1,,
OFFENSE 2.0,16017283,3924,Theft of Property Lost  Mislaid or Delivered by Mistake.,01/29/2016,10:30,800 block Ridge Ave,Allegheny West,1,,
OFFENSE 2.0,16017227,9496,Dead on Arrival (DOA),01/29/2016,10:46,1200 block Superior Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,16017263,9489,Found Property,01/29/2016,12:15,2800 block brighton Rd,Marshall-Shadeland,1,,
OFFENSE 2.0,16017272,2709,Harassment (Non-Specific),01/29/2016,12:34,100 block Maywood St,Perry South,1,,
ARREST,15122500,3921,Theft by Unlawful Taking or Disposition.,01/29/2016,13:20,300 block North Shore Dr,East Allegheny,1,,M
ARREST,15122500,4101,Forgery.,01/29/2016,13:20,300 block North Shore Dr,East Allegheny,1,,M
ARREST,15122500,3925,Receiving Stolen Property.,01/29/2016,13:20,300 block North Shore Dr,East Allegheny,1,,M
OFFENSE 2.0,16017312,9999,9999 - (Misc. Incident): ,01/29/2016,13:30,1000 block Madison Ave,East Allegheny,1,,
OFFENSE 2.0,16017326,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,01/29/2016,14:30,2300 block Mannheim St,Marshall-Shadeland,1,,
OFFENSE 2.0,16017430,9497,Aided Case,01/29/2016,17:46,E North Ave,Allegheny Center,1,,
OFFENSE 2.0,16017462,3304,Criminal Mischief.,01/29/2016,18:37,1700 block Brighton Pl,California-Kirkbride,1,,
OFFENSE 2.0,16017504,3745,Accidents Involving Damage to Unattended Veh.or Prop.,01/29/2016,18:50,300 block Cedar Ave,East Allegheny,1,,
OFFENSE 2.0,16017573,029,Missing Juvenile,01/29/2016,21:50,200 block Ridge Ave,Allegheny Center,1,,
OFFENSE 2.0,16017601,9999,9999 - (Misc. Incident): Non reportable Vehicle Accident,01/29/2016,23:23,500 block Heinz St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,16017617,9488,False  Burglar Alarm,01/29/2016,23:34,200 block East Ohio St,Allegheny Center,1,,
OFFENSE 2.0,16017619,9497,Aided Case,01/29/2016,23:51,Ohio River Blvd & Mckees Rocks Brg,Brighton Heights,1,,
OFFENSE 2.0,16017116,3745,Accidents Involving Damage to Unattended Veh.or Prop.,01/29/2016,06:16,7th Ave & Grant St,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16017177,3745,Accidents Involving Damage to Unattended Veh.or Prop.,01/29/2016,08:55,Centre Ave & 6th Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16017331,3502,Burglary.,01/29/2016,10:00,900 block Penn Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16017224,3745,Accidents Involving Damage to Unattended Veh.or Prop.,01/29/2016,10:00,Mintwood St & 38th St,Lower Lawrenceville,2,,
OFFENSE 2.0,16017223,13(a)(30),Possession w/ Intent to Del. Controlled Substance,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,,
ARREST,15131728,7512,Criminal Use of Communication,01/29/2016,10:42,2000 block Centre Ave,Crawford-Roberts,2,21,M
ARREST,15131728,13(a)(30)*,Delivery of Controlled Substance,01/29/2016,10:42,2000 block Centre Ave,Crawford-Roberts,2,21,M
ARREST,15131728,13(a)(30),Possession w/ Intent to Del. Controlled Substance,01/29/2016,10:42,2000 block Centre Ave,Crawford-Roberts,2,21,M
ARREST,15131728,13(a)(16),Possession of Controlled Substance,01/29/2016,10:42,2000 block Centre Ave,Crawford-Roberts,2,21,M
OFFENSE 2.0,16017223,9501,Bench Warrant,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,,
OFFENSE 2.0,16017223,13(a)(32),Paraphernalia - Use or Possession,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,,
OFFENSE 2.0,16017223,13(a)(31),Marijuana: Possession Small Amount,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,,
OFFENSE 2.0,16017223,13(a)(30)*,Delivery of Controlled Substance,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,,
OFFENSE 2.0,16017223,13(a)(16),Possession of Controlled Substance,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,,
ARREST,16017223,13(a)(16),Possession of Controlled Substance,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,21,M
ARREST,16017223,13(a)(30),Possession w/ Intent to Del. Controlled Substance,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,21,M
ARREST,16017223,13(a)(30)*,Delivery of Controlled Substance,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,21,M
ARREST,16017223,13(a)(16),Possession of Controlled Substance,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,28,M
ARREST,16017223,13(a)(31),Marijuana: Possession Small Amount,01/29/2016,10:42,Forbes Ave & Magee St,Bluff,2,28,M
