REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,16010556,9488,False  Burglar Alarm,01/18/2016,00:10,800 block Union Pl,Allegheny Center,1,,
OFFENSE 2.0,16010829,3745,Accidents Involving Damage to Unattended Veh.or Prop.,01/18/2016,00:30,100 block W Burgess St,Perry South,1,,
OFFENSE 2.0,16010562,9497,Aided Case,01/18/2016,00:30,1500 block Brighton Rd,California-Kirkbride,1,,
OFFENSE 2.0,16010593,9488,False  Burglar Alarm,01/18/2016,01:25,900 block Cedar Ave,Allegheny Center,1,,
OFFENSE 2.0,16010603,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,01/18/2016,02:00,Benton Ave & Brighton Woods Rd,Brighton Heights,1,,
ARREST,16010603,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,01/18/2016,02:00,Benton Ave & Brighton Woods Rd,Brighton Heights,1,57,M
ARREST,16010603,3802(a)(1),DUI - General Impairment,01/18/2016,02:00,Benton Ave & Brighton Woods Rd,Brighton Heights,1,57,M
OFFENSE 2.0,16010603,3802(a)(1),DUI - General Impairment,01/18/2016,02:00,Benton Ave & Brighton Woods Rd,Brighton Heights,1,,
OFFENSE 2.0,16010630,3714,Careless Driving,01/18/2016,02:14,Cedar Ave & Tripoli St,Allegheny Center,1,,
OFFENSE 2.0,16010630,3802(a)(1),DUI - General Impairment,01/18/2016,02:14,Cedar Ave & Tripoli St,Allegheny Center,1,,
OFFENSE 2.0,16010630,1543,Driving While Operating Privilege is Suspended or Revoked.,01/18/2016,02:14,Cedar Ave & Tripoli St,Allegheny Center,1,,
OFFENSE 2.0,16010630,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,01/18/2016,02:14,Cedar Ave & Tripoli St,Allegheny Center,1,,
OFFENSE 2.0,16010630,13(a)(16),Possession of Controlled Substance,01/18/2016,02:14,Cedar Ave & Tripoli St,Allegheny Center,1,,
ARREST,16010630,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,01/18/2016,02:30,Cedar Ave & Tripoli St,Allegheny Center,1,29,M
ARREST,16010630,3802(a)(1),DUI - General Impairment,01/18/2016,02:30,Cedar Ave & Tripoli St,Allegheny Center,1,29,M
ARREST,16010630,3714,Careless Driving,01/18/2016,02:30,Cedar Ave & Tripoli St,Allegheny Center,1,29,M
ARREST,16010630,13(a)(16),Possession of Controlled Substance,01/18/2016,02:30,Cedar Ave & Tripoli St,Allegheny Center,1,29,M
ARREST,16010630,1543,Driving While Operating Privilege is Suspended or Revoked.,01/18/2016,02:30,Cedar Ave & Tripoli St,Allegheny Center,1,29,M
OFFENSE 2.0,16010715,3304,Criminal Mischief.,01/18/2016,06:45,900 block Kirkbride St,California-Kirkbride,1,,
ARREST,16004091,6105(c)(9),Persons Not To Possess Use Manuf  Control Firearm,01/18/2016,09:20,1600 block Federal St N,Central Northside,1,23,M
OFFENSE 2.0,16010774,9497,Aided Case,01/18/2016,10:09,700 block Mt Pleasant Rd,Northview Heights,1,,
ARREST,15248364,2705,Recklessly Endangering Another Person.,01/18/2016,15:25,3500 block California Ave,Brighton Heights,1,29,M
ARREST,15248364,2702,Aggravated Assault.,01/18/2016,15:25,3500 block California Ave,Brighton Heights,1,29,M
ARREST,15248364,6105(a)(1),Persons not to possess  use  manufacture  control  sell or transfer firearms: Former Convict enumerated in subsection (b),01/18/2016,15:25,3500 block California Ave,Brighton Heights,1,29,M
ARREST,15248364,6106,Firearms not to be Carried without a License.,01/18/2016,15:25,3500 block California Ave,Brighton Heights,1,29,M
