REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,16026511,3745,Accidents Involving Damage to Unattended Veh.or Prop.,02/13/2016,00:03,3800 block California Ave,Brighton Heights,1,,
OFFENSE 2.0,16026601,2702,Aggravated Assault.,02/13/2016,02:42,700 block Mt Pleasant Rd,Northview Heights,1,,
OFFENSE 2.0,16026601,2701,Simple Assault.,02/13/2016,02:42,700 block Mt Pleasant Rd,Northview Heights,1,,
ARREST,16026601,2701,Simple Assault.,02/13/2016,03:19,700 block Mt Pleasant Rd,Northview Heights,1,44,M
ARREST,15196260,2701,Simple Assault.,02/13/2016,03:19,700 block Mt Pleasant Rd,Northview Heights,1,44,M
ARREST,16026601,9501,Bench Warrant,02/13/2016,03:19,700 block Mt Pleasant Rd,Northview Heights,1,44,M
ARREST,16026601,2702,Aggravated Assault.,02/13/2016,03:19,700 block Mt Pleasant Rd,Northview Heights,1,25,F
OFFENSE 2.0,16026650,9488,False  Burglar Alarm,02/13/2016,05:07,1400 block Spring Garden Ave,Spring Garden,1,,
OFFENSE 2.0,16026715,3304,Criminal Mischief.,02/13/2016,09:00,Goettmann St & Basin St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,16026715,3934,Theft from Vehicle,02/13/2016,09:00,Goettmann St & Basin St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,16026805,029,Missing Juvenile,02/13/2016,13:20,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,16026798,029,Missing Juvenile,02/13/2016,13:20,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,16026819,9488,False  Burglar Alarm,02/13/2016,13:45,3200 block Central Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,16026827,3701,Robbery.,02/13/2016,13:50,Strauss St & N Charles St,Perry South,1,,
OFFENSE 2.0,16026894,9488,False  Burglar Alarm,02/13/2016,16:56,1400 block Spring Garden Ave,Spring Garden,1,,
OFFENSE 2.0,16026907,9488,False  Burglar Alarm,02/13/2016,17:19,1400 block Spring Garden Ave,Spring Garden,1,,
OFFENSE 2.0,16027072,9501,Bench Warrant,02/13/2016,23:39,1900 block Gebhart St,Spring Garden,1,,
ARREST,16027072,9501,Bench Warrant,02/13/2016,23:39,1900 block Gebhart St,Spring Garden,1,30,M
ARREST,16011615,2701,Simple Assault.,02/13/2016,02:00,600 block Wood St,Golden Triangle/Civic Arena,2,23,M
OFFENSE 2.0,16026587,3743,Accidents Involving Damage to Attended Veh. or Property,02/13/2016,02:12,500 block Penn Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16026587,3304,Criminal Mischief.,02/13/2016,02:12,500 block Penn Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16026683,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,02/13/2016,07:50,Liberty Ave & 6th St,Golden Triangle/Civic Arena,2,,
